User ID,Name,Email Address,Username,Date of Birth,Location,Membership Start Date,Membership End Date,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions,Membership Duration (Days),Age,Days Since Membership Start,Gender__Female,Gender__Male,Plan__Annual,Plan__Monthly,Uses_Mobile,Uses_Desktop,Uses_Tablet,Uses_Smart TV,Genre_['Documentary'],Genre_['Horror'],Genre_['Comedy'],Genre_['Action'],Genre_['Drama'],Genre_['Sci-Fi'],Genre_['Romance'],Churned
13,Kevin Mayo,hochoa@example.net,hochoa,1981-11-18,Michaeltown,2024-01-10,2025-01-09,Amex,Auto-renew,Regular,['Clothing'],['Action'],['Tablet'],Medium,4.7,0,365,44,377,True,False,False,True,0,0,1,0,0,0,0,1,0,0,0,1
14,Gregory Thomas,egriffin@example.com,egriffin,1989-08-17,Harrisport,2024-01-07,2025-01-06,Amex,Auto-renew,Frequent,['Books'],['Horror'],['Tablet'],Medium,3.8,0,365,36,380,True,False,True,False,0,0,1,0,0,1,0,0,0,0,0,1
15,Melanie Burns,meyerstacy@example.net,meyerstacy,2003-04-07,East Janetfurt,2024-02-23,2025-02-22,Visa,Manual,Regular,['Clothing'],['Sci-Fi'],['Smartphone'],Medium,4.9,10,365,22,333,False,True,True,False,0,0,0,0,0,0,0,0,0,1,0,0
16,Brittany Crane,jasonbowers@example.org,jasonbowers,1993-03-19,Port Jeremyfurt,2024-01-03,2025-01-02,Amex,Manual,Occasional,['Books'],['Horror'],['Smartphone'],Low,5.0,0,365,32,384,True,False,True,False,0,0,0,0,0,1,0,0,0,0,0,1
17,Robert Gonzalez,cday@example.com,cday,1952-05-02,Quinnberg,2024-03-25,2025-03-25,Visa,Auto-renew,Regular,['Clothing'],['Romance'],['Smartphone'],Low,3.3,3,365,73,302,True,False,True,False,0,0,0,0,0,0,0,0,0,0,1,0
18,Mindy Baxter,phumphrey@example.net,phumphrey,1978-11-16,New Brandon,2024-01-23,2025-01-22,Amex,Auto-renew,Regular,['Clothing'],['Documentary'],['Tablet'],High,3.9,6,365,47,364,True,False,True,False,0,0,1,0,1,0,0,0,0,0,0,0
19,Michael Smith,paige55@example.org,paige55,1945-08-30,South Michaelhaven,2024-01-27,2025-01-26,Visa,Auto-renew,Occasional,['Books'],['Documentary'],['Smart TV'],Low,4.4,6,365,80,360,True,False,True,False,0,0,0,1,1,0,0,0,0,0,0,0
20,Joseph Owens,christopher25@example.org,christopher25,1979-09-29,Port Derekton,2024-03-15,2025-03-15,Mastercard,Manual,Occasional,['Books'],['Sci-Fi'],['Tablet'],Medium,4.6,2,365,46,312,True,False,True,False,0,0,1,0,0,0,0,0,0,1,0,0
21,Devin Wolf,jacobrobinson@example.com,jacobrobinson,1956-07-05,New Matthewbury,2024-03-15,2025-03-15,Visa,Manual,Regular,['Electronics'],['Action'],['Tablet'],Low,4.2,6,365,69,312,False,True,False,True,0,0,1,0,0,0,0,1,0,0,0,0
22,Heidi Brock,karen47@example.org,karen47,1967-02-17,Lake Gloriaport,2024-01-15,2025-01-14,Amex,Manual,Regular,['Clothing'],['Sci-Fi'],['Smart TV'],Low,3.9,2,365,58,372,False,True,False,True,0,0,0,1,0,0,0,0,0,1,0,1
23,Tracy Hardin,ronald82@example.net,ronald82,1996-02-13,North Audrey,2024-04-14,2025-04-14,Visa,Auto-renew,Regular,['Books'],['Comedy'],['Smart TV'],High,4.3,7,365,29,282,True,False,False,True,0,0,0,1,0,0,1,0,0,0,0,0
24,Maria White,castillokatie@example.com,castillokatie,1968-06-19,West Raymond,2024-03-26,2025-03-26,Mastercard,Manual,Regular,['Electronics'],['Drama'],['Smart TV'],High,4.8,0,365,57,301,False,True,True,False,0,0,0,1,0,0,0,0,1,0,0,0
25,Eric Johnson,lgreer@example.org,lgreer,1994-10-02,North Jacob,2024-01-18,2025-01-17,Mastercard,Auto-renew,Frequent,['Electronics'],['Sci-Fi'],['Smartphone'],High,4.6,4,365,31,369,True,False,False,True,0,0,0,0,0,0,0,0,0,1,0,1
26,Kenneth Jones,glen97@example.net,glen97,1986-09-22,Shafferland,2024-02-12,2025-02-11,Mastercard,Auto-renew,Occasional,['Electronics'],['Comedy'],['Smart TV'],High,3.8,7,365,39,344,True,False,False,True,0,0,0,1,0,0,1,0,0,0,0,0
27,Joel Cole,nyates@example.com,nyates,2005-03-29,West Richardbury,2024-02-19,2025-02-18,Visa,Manual,Occasional,['Electronics'],['Horror'],['Smart TV'],High,3.6,0,365,20,337,False,True,False,True,0,0,0,1,0,1,0,0,0,0,0,0
28,Brittany Noble,carol56@example.com,carol56,1976-11-05,New John,2024-01-26,2025-01-25,Visa,Auto-renew,Occasional,['Clothing'],['Comedy'],['Smart TV'],Medium,3.0,9,365,49,361,False,True,False,True,0,0,0,1,0,0,1,0,0,0,0,0
29,Shelley Lopez,rodneyroberts@example.com,rodneyroberts,1967-07-05,North Marymouth,2024-01-07,2025-01-06,Mastercard,Auto-renew,Regular,['Clothing'],['Comedy'],['Smartphone'],High,4.8,7,365,58,380,True,False,True,False,0,0,0,0,0,0,1,0,0,0,0,1
30,Stephen Perkins,julie52@example.com,julie52,1976-09-16,West James,2024-01-31,2025-01-30,Amex,Manual,Regular,['Books'],['Action'],['Smart TV'],Medium,4.8,9,365,49,356,True,False,False,True,0,0,0,1,0,0,0,1,0,0,0,0
31,Christopher Davis,urobinson@example.net,urobinson,1955-09-19,Randallton,2024-02-25,2025-02-24,Mastercard,Manual,Frequent,['Clothing'],['Romance'],['Smartphone'],Low,4.6,10,365,70,331,False,True,True,False,0,0,0,0,0,0,0,0,0,0,1,0
32,Rodney Jones,zfrost@example.net,zfrost,1967-10-14,Port Kimberly,2024-01-03,2025-01-02,Mastercard,Manual,Occasional,['Electronics'],['Horror'],['Tablet'],Low,4.2,9,365,58,384,True,False,False,True,0,0,1,0,0,1,0,0,0,0,0,1
33,Cheryl Johnson,louis25@example.com,louis25,1995-03-28,Lisaton,2024-01-22,2025-01-21,Mastercard,Manual,Frequent,['Clothing'],['Drama'],['Smartphone'],Low,4.3,4,365,30,365,False,True,False,True,0,0,0,0,0,0,0,0,1,0,0,1
34,Whitney Underwood,ujones@example.com,ujones,2002-07-23,New Jenniferport,2024-03-30,2025-03-30,Mastercard,Auto-renew,Regular,['Electronics'],['Horror'],['Smartphone'],Low,4.5,10,365,23,297,True,False,True,False,0,0,0,0,0,1,0,0,0,0,0,0
35,Cheryl Bradley,jesseforbes@example.org,jesseforbes,1933-05-11,New Jason,2024-04-05,2025-04-05,Mastercard,Manual,Occasional,['Electronics'],['Action'],['Smartphone'],Low,3.8,6,365,92,291,False,True,True,False,0,0,0,0,0,0,0,1,0,0,0,0
36,Carrie Smith,scottjohn@example.com,scottjohn,1991-07-03,Clineshire,2024-01-17,2025-01-16,Mastercard,Manual,Occasional,['Books'],['Comedy'],['Tablet'],High,4.8,10,365,34,370,True,False,False,True,0,0,1,0,0,0,1,0,0,0,0,1
37,Ryan Nunez,silvamichael@example.org,silvamichael,1944-10-26,Jacquelinefurt,2024-02-16,2025-02-15,Visa,Auto-renew,Frequent,['Books'],['Horror'],['Smart TV'],Medium,4.1,6,365,81,340,True,False,False,True,0,0,0,1,0,1,0,0,0,0,0,0
38,John Wood,maxwellanthony@example.net,maxwellanthony,1975-07-23,North Jerry,2024-01-23,2025-01-22,Amex,Manual,Frequent,['Clothing'],['Romance'],['Tablet'],Medium,4.5,7,365,50,364,True,False,True,False,0,0,1,0,0,0,0,0,0,0,1,0
39,Rachel Holmes,maryjones@example.com,maryjones,1955-07-06,Port Benjaminfort,2024-03-25,2025-03-25,Visa,Auto-renew,Occasional,['Electronics'],['Documentary'],['Tablet'],High,3.2,8,365,70,302,True,False,False,True,0,0,1,0,1,0,0,0,0,0,0,0
40,Terry Powell,reyesjennifer@example.com,reyesjennifer,1981-03-19,Port Danielle,2024-02-04,2025-02-03,Visa,Auto-renew,Occasional,['Clothing'],['Documentary'],['Tablet'],Low,4.2,5,365,44,352,True,False,True,False,0,0,1,0,1,0,0,0,0,0,0,0
41,Mark Hernandez,william81@example.com,william81,1975-03-07,Port Jillianbury,2024-03-18,2025-03-18,Visa,Auto-renew,Frequent,['Clothing'],['Comedy'],['Smart TV'],Medium,4.6,8,365,50,309,False,True,False,True,0,0,0,1,0,0,1,0,0,0,0,0
42,Angela Hall,laura84@example.org,laura84,1962-06-14,Sherrybury,2024-03-21,2025-03-21,Amex,Auto-renew,Occasional,['Electronics'],['Comedy'],['Tablet'],High,4.4,2,365,63,306,True,False,False,True,0,0,1,0,0,0,1,0,0,0,0,0
43,Laura Griffith,michelle48@example.net,michelle48,2001-01-09,Port Charleschester,2024-03-19,2025-03-19,Amex,Auto-renew,Regular,['Clothing'],['Documentary'],['Tablet'],Medium,3.6,9,365,24,308,True,False,True,False,0,0,1,0,1,0,0,0,0,0,0,0
44,Anita Calhoun MD,ashley86@example.com,ashley86,1945-08-27,New Brandy,2024-03-14,2025-03-14,Mastercard,Manual,Frequent,['Clothing'],['Romance'],['Smartphone'],Medium,4.8,6,365,80,313,False,True,True,False,0,0,0,0,0,0,0,0,0,0,1,0
45,Shannon Clark,traci17@example.net,traci17,1943-08-20,East Aaronburgh,2024-03-14,2025-03-14,Amex,Manual,Frequent,['Books'],['Horror'],['Smartphone'],Low,5.0,6,365,82,313,False,True,False,True,0,0,0,0,0,1,0,0,0,0,0,0
46,Geoffrey Garcia,benjamin76@example.org,benjamin76,1993-10-31,Jamesview,2024-02-03,2025-02-02,Mastercard,Auto-renew,Regular,['Clothing'],['Sci-Fi'],['Smart TV'],Medium,3.9,5,365,32,353,False,True,True,False,0,0,0,1,0,0,0,0,0,1,0,0
47,Jeffery Maxwell,debra51@example.org,debra51,1953-04-13,Davisfort,2024-02-21,2025-02-20,Amex,Auto-renew,Frequent,['Books'],['Sci-Fi'],['Smartphone'],Low,3.6,7,365,72,335,True,False,True,False,0,0,0,0,0,0,0,0,0,1,0,0
48,Robert Lloyd,bradleypatrick@example.org,bradleypatrick,1985-03-15,West Tanya,2024-03-09,2025-03-09,Mastercard,Manual,Occasional,['Electronics'],['Romance'],['Smartphone'],Low,4.3,2,365,40,318,False,True,False,True,0,0,0,0,0,0,0,0,0,0,1,0
49,Melissa Wells,luis09@example.net,luis09,1950-07-27,South Kylestad,2024-03-09,2025-03-09,Mastercard,Auto-renew,Occasional,['Electronics'],['Horror'],['Smart TV'],Low,3.1,8,365,75,318,True,False,False,True,0,0,0,1,0,1,0,0,0,0,0,0
50,Antonio Jackson,jrandall@example.org,jrandall,1965-07-23,East Marcusberg,2024-03-24,2025-03-24,Visa,Manual,Occasional,['Books'],['Sci-Fi'],['Tablet'],High,4.5,9,365,60,303,True,False,True,False,0,0,1,0,0,0,0,0,0,1,0,0
51,John Smith,dhuffman@example.net,dhuffman,1990-12-21,New Nicoleport,2024-01-28,2025-01-27,Visa,Manual,Occasional,['Electronics'],['Drama'],['Smart TV'],High,3.9,8,365,35,359,False,True,False,True,0,0,0,1,0,0,0,0,1,0,0,0
52,Jeremy Lyons,richardsmicheal@example.com,richardsmicheal,1976-11-05,North Stephen,2024-02-02,2025-02-01,Amex,Manual,Frequent,['Clothing'],['Horror'],['Smartphone'],High,3.9,0,365,49,354,False,True,True,False,0,0,0,0,0,1,0,0,0,0,0,0
53,Cathy Harrington,kellygibson@example.org,kellygibson,1942-03-21,Lake Wendyland,2024-04-14,2025-04-14,Mastercard,Manual,Occasional,['Clothing'],['Drama'],['Smartphone'],Low,4.9,8,365,83,282,False,True,False,True,0,0,0,0,0,0,0,0,1,0,0,0
54,Lisa Bauer,allison13@example.org,allison13,1964-10-26,Michaelfort,2024-01-28,2025-01-27,Amex,Manual,Occasional,['Electronics'],['Comedy'],['Smart TV'],High,3.6,5,365,61,359,False,True,True,False,0,0,0,1,0,0,1,0,0,0,0,0
55,Margaret Cooper,fbradley@example.org,fbradley,1964-02-19,Lake Samantha,2024-03-13,2025-03-13,Visa,Auto-renew,Frequent,['Clothing'],['Action'],['Tablet'],Low,4.9,3,365,61,314,True,False,True,False,0,0,1,0,0,0,0,1,0,0,0,0
56,Robert Browning,lorettashelton@example.net,lorettashelton,1973-11-09,East Charles,2024-02-03,2025-02-02,Mastercard,Auto-renew,Regular,['Electronics'],['Sci-Fi'],['Smartphone'],High,3.6,6,365,52,353,True,False,True,False,0,0,0,0,0,0,0,0,0,1,0,0
57,Amanda Williams DVM,reginald05@example.org,reginald05,1953-03-27,Bowmanland,2024-01-02,2025-01-01,Visa,Auto-renew,Occasional,['Electronics'],['Sci-Fi'],['Smart TV'],Medium,3.0,2,365,72,385,True,False,False,True,0,0,0,1,0,0,0,0,0,1,0,1
58,William Clark,michael86@example.com,michael86,1961-05-19,New Thomasville,2024-04-01,2025-04-01,Amex,Auto-renew,Occasional,['Books'],['Drama'],['Tablet'],Low,4.5,10,365,64,295,False,True,False,True,0,0,1,0,0,0,0,0,1,0,0,0
59,Julie Dean,hduffy@example.org,hduffy,2003-03-09,Port Olivia,2024-04-07,2025-04-07,Mastercard,Auto-renew,Frequent,['Books'],['Comedy'],['Smart TV'],High,3.5,10,365,22,289,True,False,False,True,0,0,0,1,0,0,1,0,0,0,0,0
60,Neil Allen,hamiltonkeith@example.org,hamiltonkeith,1968-09-05,Port Lauramouth,2024-04-11,2025-04-11,Mastercard,Auto-renew,Occasional,['Books'],['Action'],['Smartphone'],Low,3.7,9,365,57,285,True,False,True,False,0,0,0,0,0,0,0,1,0,0,0,0
61,Nicole Hunter,wendy13@example.com,wendy13,1953-09-24,Smithborough,2024-02-15,2025-02-14,Amex,Auto-renew,Occasional,['Books'],['Comedy'],['Smart TV'],Medium,3.9,4,365,72,341,True,False,False,True,0,0,0,1,0,0,1,0,0,0,0,0
62,Susan Hurst,jessicaespinoza@example.com,jessicaespinoza,1991-10-15,Phillipsfurt,2024-03-06,2025-03-06,Visa,Manual,Occasional,['Clothing'],['Romance'],['Smart TV'],High,4.6,10,365,34,321,True,False,True,False,0,0,0,1,0,0,0,0,0,0,1,0
63,Megan Bates,douglas02@example.net,douglas02,1981-08-17,Harrisshire,2024-01-09,2025-01-08,Mastercard,Auto-renew,Frequent,['Electronics'],['Romance'],['Smartphone'],Medium,3.8,3,365,44,378,True,False,False,True,0,0,0,0,0,0,0,0,0,0,1,1
64,Kristen Rowe,bcollins@example.org,bcollins,1974-06-10,South Williammouth,2024-03-09,2025-03-09,Mastercard,Auto-renew,Frequent,['Clothing'],['Sci-Fi'],['Tablet'],Low,3.6,4,365,51,318,False,True,False,True,0,0,1,0,0,0,0,0,0,1,0,0
65,Jessica Flores,aguilarjohn@example.net,aguilarjohn,1948-06-30,New Jonathan,2024-01-17,2025-01-16,Amex,Manual,Frequent,['Electronics'],['Comedy'],['Smartphone'],Low,4.5,6,365,77,370,True,False,False,True,0,0,0,0,0,0,1,0,0,0,0,1
66,Elizabeth Taylor,desiree88@example.com,desiree88,1973-07-13,Jennaburgh,2024-03-29,2025-03-29,Amex,Manual,Regular,['Electronics'],['Romance'],['Tablet'],High,3.6,10,365,52,298,True,False,False,True,0,0,1,0,0,0,0,0,0,0,1,0
67,Ronald Brooks MD,arodriguez@example.net,arodriguez,2004-04-07,Jonathanburgh,2024-02-01,2025-01-31,Visa,Auto-renew,Frequent,['Books'],['Comedy'],['Tablet'],High,3.0,9,365,21,355,True,False,True,False,0,0,1,0,0,0,1,0,0,0,0,0
68,Sonya Obrien,larry78@example.org,larry78,1946-02-17,Jessicaborough,2024-03-19,2025-03-19,Visa,Manual,Frequent,['Electronics'],['Sci-Fi'],['Smart TV'],Low,3.4,0,365,79,308,True,False,True,False,0,0,0,1,0,0,0,0,0,1,0,0
69,Tracy Koch,timothy25@example.net,timothy25,1947-08-03,Kristenton,2024-04-09,2025-04-09,Amex,Auto-renew,Frequent,['Books'],['Sci-Fi'],['Smartphone'],High,4.7,9,365,78,287,True,False,False,True,0,0,0,0,0,0,0,0,0,1,0,0
70,Kendra Brooks DVM,obray@example.net,obray,1937-01-29,Garzafort,2024-01-21,2025-01-20,Amex,Manual,Regular,['Clothing'],['Action'],['Smartphone'],Low,3.2,2,365,88,366,False,True,False,True,0,0,0,0,0,0,0,1,0,0,0,1
71,Janice Oliver,bethany83@example.net,bethany83,1988-12-02,South Leslie,2024-02-27,2025-02-26,Visa,Auto-renew,Frequent,['Books'],['Comedy'],['Tablet'],Low,4.1,5,365,37,329,False,True,False,True,0,0,1,0,0,0,1,0,0,0,0,0
72,Jennifer Shields,aanderson@example.org,aanderson,2004-10-07,Williamport,2024-03-03,2025-03-03,Mastercard,Auto-renew,Regular,['Electronics'],['Drama'],['Smartphone'],High,3.1,7,365,21,324,False,True,True,False,0,0,0,0,0,0,0,0,1,0,0,0
73,Diana Dillon,diane28@example.com,diane28,1981-04-21,South Beverlyton,2024-01-30,2025-01-29,Visa,Auto-renew,Regular,['Electronics'],['Drama'],['Smartphone'],Medium,3.5,4,365,44,357,False,True,False,True,0,0,0,0,0,0,0,0,1,0,0,0
74,David Mata,cheyennewilson@example.net,cheyennewilson,1967-08-12,Lake Rebecca,2024-04-08,2025-04-08,Amex,Manual,Frequent,['Electronics'],['Drama'],['Tablet'],Low,4.8,9,365,58,288,False,True,True,False,0,0,1,0,0,0,0,0,1,0,0,0
75,Megan Vaughan,walkersusan@example.net,walkersusan,1938-02-23,Tinaberg,2024-02-03,2025-02-02,Visa,Manual,Frequent,['Books'],['Horror'],['Tablet'],Medium,3.3,0,365,87,353,True,False,True,False,0,0,1,0,0,1,0,0,0,0,0,0
76,Kelsey Diaz,jamesstevens@example.com,jamesstevens,1992-06-29,Wongview,2024-02-07,2025-02-06,Mastercard,Auto-renew,Occasional,['Clothing'],['Sci-Fi'],['Smart TV'],Low,4.4,5,365,33,349,True,False,True,False,0,0,0,1,0,0,0,0,0,1,0,0
77,Jimmy Parker,shannon08@example.org,shannon08,1967-05-15,Ramseymouth,2024-02-18,2025-02-17,Mastercard,Manual,Regular,['Books'],['Documentary'],['Smart TV'],Medium,4.9,10,365,58,338,True,False,False,True,0,0,0,1,1,0,0,0,0,0,0,0
78,Perry Fry,lucas69@example.com,lucas69,1993-12-10,Port Jasonville,2024-03-10,2025-03-10,Visa,Manual,Regular,['Clothing'],['Drama'],['Smartphone'],Low,3.8,10,365,32,317,True,False,False,True,0,0,0,0,0,0,0,0,1,0,0,0
79,Evelyn Williams,john77@example.org,john77,1942-08-03,Port Nicholas,2024-03-18,2025-03-18,Mastercard,Auto-renew,Occasional,['Clothing'],['Sci-Fi'],['Tablet'],Low,4.1,10,365,83,309,False,True,False,True,0,0,1,0,0,0,0,0,0,1,0,0
80,Julie Sanchez,bakerzachary@example.net,bakerzachary,1994-12-11,Michaelberg,2024-01-29,2025-01-28,Visa,Manual,Regular,['Electronics'],['Comedy'],['Smartphone'],Low,3.4,6,365,31,358,True,False,True,False,0,0,0,0,0,0,1,0,0,0,0,0
81,Joseph Davis,greenelisa@example.com,greenelisa,1933-10-12,Martinezfort,2024-01-07,2025-01-06,Mastercard,Manual,Frequent,['Clothing'],['Action'],['Smart TV'],Low,3.3,3,365,92,380,False,True,False,True,0,0,0,1,0,0,0,1,0,0,0,1
82,Monique Rodriguez,rrhodes@example.com,rrhodes,1940-05-03,West Connorport,2024-03-20,2025-03-20,Mastercard,Manual,Frequent,['Electronics'],['Documentary'],['Smartphone'],High,3.6,9,365,85,307,False,True,False,True,0,0,0,0,1,0,0,0,0,0,0,0
83,Thomas Davis,brendasmith@example.com,brendasmith,1938-12-01,Carsonhaven,2024-02-29,2025-02-28,Visa,Auto-renew,Regular,['Electronics'],['Romance'],['Smartphone'],High,3.1,5,365,87,327,True,False,True,False,0,0,0,0,0,0,0,0,0,0,1,0
84,Christopher Dickerson,wgregory@example.com,wgregory,1992-05-05,Troytown,2024-01-15,2025-01-14,Amex,Auto-renew,Occasional,['Books'],['Action'],['Smart TV'],High,3.2,4,365,33,372,True,False,False,True,0,0,0,1,0,0,0,1,0,0,0,1
85,Keith Baker,ujones@example.com,ujones,1972-07-11,Langton,2024-02-03,2025-02-02,Amex,Manual,Occasional,['Clothing'],['Horror'],['Smartphone'],Medium,3.0,1,365,53,353,True,False,True,False,0,0,0,0,0,1,0,0,0,0,0,0
86,Ashley Cortez,lisa59@example.net,lisa59,1948-06-13,Charlesfurt,2024-02-23,2025-02-22,Visa,Manual,Frequent,['Books'],['Action'],['Smart TV'],Low,3.9,3,365,77,333,True,False,True,False,0,0,0,1,0,0,0,1,0,0,0,0
87,Tammy Ward,shannon33@example.com,shannon33,1974-03-16,Lake Stephanieside,2024-01-28,2025-01-27,Mastercard,Auto-renew,Frequent,['Books'],['Horror'],['Smart TV'],Low,4.8,4,365,51,359,True,False,True,False,0,0,0,1,0,1,0,0,0,0,0,0
88,Mary Fernandez,richardsjimmy@example.com,richardsjimmy,1990-04-27,Melissamouth,2024-02-10,2025-02-09,Amex,Manual,Regular,['Books'],['Romance'],['Smart TV'],Low,4.4,2,365,35,346,False,True,False,True,0,0,0,1,0,0,0,0,0,0,1,0
89,Gilbert Brown,ashleytate@example.net,ashleytate,1984-03-24,Amyborough,2024-02-27,2025-02-26,Visa,Auto-renew,Frequent,['Electronics'],['Romance'],['Smart TV'],Low,4.0,2,365,41,329,False,True,True,False,0,0,0,1,0,0,0,0,0,0,1,0
90,Vanessa Lutz,harriscameron@example.org,harriscameron,1951-11-13,North Michelleburgh,2024-02-11,2025-02-10,Mastercard,Manual,Regular,['Electronics'],['Action'],['Tablet'],Medium,4.7,3,365,74,345,True,False,False,True,0,0,1,0,0,0,0,1,0,0,0,0
91,Jenna Pham,marybeltran@example.org,marybeltran,1937-08-15,Harryland,2024-01-13,2025-01-12,Mastercard,Auto-renew,Occasional,['Books'],['Drama'],['Tablet'],High,3.4,9,365,88,374,False,True,False,True,0,0,1,0,0,0,0,0,1,0,0,1
92,Alicia Williams,xpierce@example.org,xpierce,1991-06-20,Lindseyland,2024-02-22,2025-02-21,Amex,Manual,Frequent,['Books'],['Comedy'],['Tablet'],Medium,4.2,2,365,34,334,False,True,False,True,0,0,1,0,0,0,1,0,0,0,0,0
93,Laura Saunders,sara71@example.net,sara71,1945-02-21,Kevinchester,2024-02-13,2025-02-12,Mastercard,Manual,Occasional,['Books'],['Drama'],['Tablet'],Medium,3.9,3,365,80,343,False,True,True,False,0,0,1,0,0,0,0,0,1,0,0,0
94,Connor Morris,umiller@example.org,umiller,1981-03-04,North Melissaville,2024-02-08,2025-02-07,Mastercard,Manual,Frequent,['Clothing'],['Drama'],['Smartphone'],High,3.9,4,365,44,348,True,False,True,False,0,0,0,0,0,0,0,0,1,0,0,0
95,Shannon Farmer,coffeyparker@example.org,coffeyparker,1958-12-15,Justinchester,2024-02-03,2025-02-02,Mastercard,Auto-renew,Frequent,['Clothing'],['Drama'],['Tablet'],High,4.6,6,365,67,353,True,False,True,False,0,0,1,0,0,0,0,0,1,0,0,0
96,Mackenzie Harris,andersonemily@example.net,andersonemily,1963-11-06,Lake Barryland,2024-03-01,2025-03-01,Mastercard,Auto-renew,Regular,['Clothing'],['Action'],['Smartphone'],Medium,3.2,9,365,62,326,True,False,True,False,0,0,0,0,0,0,0,1,0,0,0,0
97,Stephanie Potter,heather10@example.org,heather10,1958-05-05,New Teresaburgh,2024-03-25,2025-03-25,Amex,Manual,Regular,['Electronics'],['Romance'],['Tablet'],High,3.7,3,365,67,302,True,False,False,True,0,0,1,0,0,0,0,0,0,0,1,0
98,Mitchell Potter,fsanchez@example.net,fsanchez,1979-08-27,South Katieburgh,2024-01-27,2025-01-26,Visa,Manual,Regular,['Books'],['Documentary'],['Tablet'],High,4.7,4,365,46,360,False,True,True,False,0,0,1,0,1,0,0,0,0,0,0,0
